"t","timedate","Ph","YTi","VAHU","TAHU","Ta","Ps","Vw","YTi_FF"
2032,2023-07-15 02:30:00,0.0120849609375,20.2849998474121,0,24,15.4,1,0,18.2525005340576
2033,2023-07-15 02:40:00,0.0179443359375,20.3250007629395,0,24,15.4,1,0,18.1125001907349
2034,2023-07-15 02:50:00,0.01171875,20.3400001525879,0,24,15.3,2,0,18.0424995422363
2035,2023-07-15 03:00:00,0.024169921875,20.2750005722046,0,24,15.2,2,0,18.0124998092651
2036,2023-07-15 03:10:00,0.01171875,20.164999961853,0,24,15.2,1,0,17.9899997711182
2037,2023-07-15 03:20:00,0.018310546875,20.0625,0,24,15.2,1,0,17.8850002288818
2038,2023-07-15 03:30:00,0.01171875,20.1075000762939,0,24,15.1,2,0,17.9425001144409
2039,2023-07-15 03:40:00,0.0179443359375,20.102499961853,0,24,15.1,1,0,17.835000038147
2040,2023-07-15 03:50:00,0.0120849609375,19.9800004959106,0,24,15,1,0,17.7075004577637
2041,2023-07-15 04:00:00,0.024169921875,19.9449996948242,0,24,15,1,0,17.7875003814697
2042,2023-07-15 04:10:00,0.0120849609375,19.8900003433228,0,24,15,1,0,17.664999961853
2043,2023-07-15 04:20:00,0.0179443359375,19.835000038147,0,24,15.1,2,0,17.7399997711182
2044,2023-07-15 04:30:00,0.0120849609375,19.6774997711182,0,24,15.1,2,0,17.6875
2045,2023-07-15 04:40:00,0.0238037109375,19.6424999237061,0,24,15.1,3,0,17.664999961853
2046,2023-07-15 04:50:00,0.0120849609375,19.6750001907349,0,24,15,4,0,17.5625
2047,2023-07-15 05:00:00,0.0179443359375,19.75,0,24,15,2,0,17.7999992370605
2048,2023-07-15 05:10:00,0.0120849609375,19.7449998855591,0,23.8700008392334,15.1,14,0,17.522500038147
2049,2023-07-15 05:20:00,0.0238037109375,19.7450008392334,0,23.8700008392334,15.1,22,0,17.5849990844727
2050,2023-07-15 05:30:00,0.0120849609375,19.6575002670288,0,23.8700008392334,15.2,32,0,17.5349998474121
2051,2023-07-15 05:40:00,0.0120849609375,19.602499961853,0,23.8700008392334,15.3,35,0,17.6199998855591
2052,2023-07-15 05:50:00,0.01171875,19.8199996948242,0,23.8700008392334,15.4,30,0,17.6525001525879
2053,2023-07-15 06:00:00,0.018310546875,19.6800003051758,0,23.8700008392334,15.5,30,0,17.7474994659424
